en,fr
big,petit
big,faible
big,menu
big,exigu
small,grand
small,gros
small,important
slow,rapide
fast,lent
fast,lambin
hot,froid
cold,chaud
cold,épicé
good,mauvais
good,méchant
good,triste
good,faux
bad,bon
bad,beau
bad,agréable
bad,grand
bad,favorable
bad,brave
bad,gentil
new,vieux
new,ancien
new,vieil
new,âgé
new,vétéran
old,nouveau
old,neuf
old,moderne
old,novice
old,frai
young,vieux
young,ancien
young,âgé
old,jeune
old,mineur
old,juvénile
old,nouvel
short,long
short,longue
long,court
long,bref
long,petit
long,faible
short,grand
short,haut
short,élevé
tall,court
tall,faible
thick,mince
thick,fin
thick,maigre
thin,épais
light,lourd
light,épais
hearvy,léger
beautiful,laid
beautiful,moche
ugly,beau
ugly,bel
ugly,joli
strong,faible
strong,fragile
weak,fort
weak,solide
weak,puissant
low,haut
low,élevé
high,bas
high,faible
high,basse
poor,riche
poor,fertile
rich,pauvre
rich,mauvais
rich,médiocre
wealthy,mauvais
wealthy,médiocre
fat,mince
fat,fin
fat,maigre
thin,gras
thin,gros
skinny,gras
skinny,gros
slim,gras
slim,gros
dark,léger
dark,clair
light,sombre
light,foncé
lazy,travailleur
lazy,laborieux
hard,paresseux
hard-working,paresseux
quiet,fort
quiet,bruyant
loud,calme
noisy,calme
loud,tranquille
noisy,tranquille
expensive,bon marché
expensive,pas cher
cheap,cher
cheap,coûteux
far,proche
far,rapproché
far,étroit
near,lointain
close,lointain
tidy,malpropre
tidy,désordonné
clean,salissant
clean,sale
messy,rangé
happy,triste
sad,heureux
soft,dur
soft,difficile
hard,doux
hard,souple
true,faux
true,inexact
correct,inexact
false,vrai
false,véritable
clean,sale
dirty,nettoyer
easy,difficile
easy,dur
difficult,facile
difficult,simple
difficult,aisé
hard,facile
uneasy,facile
uneasy,aisé
early,en retard
early,tardif
late,de bonne heure
late,premier
full,premier
empty,plein
empty,complet
right,faux
right,erroné
correct,incorrect
wrong,droit
wrong,juste
wrong,bon
dry,humide
dry,mouillé
wet,sec
hungry,plein
worst,le meilleur
best,le pire
