0,1
grösst,gross
ältest,alt
einflussreichst,einflussreich
wertvollst,wertvoll
erfolgreichst,erfolgreich
unterschiedlichst,unterschiedlich
höchst,hoch
deutlichst,deutlich
wichtigst,wichtig
schönst,schön
spannendst,spannend
bekanntest,bekannt
liebst,lieb
populärst,populär
aktuellst,aktuell
spektakulärst,spektakulär
begehrtest,begehrt
leichtest,leicht
südlichst,südlich
weitest,weit
umstrittenst,umstritten
auffälligst,auffällig
dritthöchst,dritthoch
bedeutendst,bedeutend
sehnlichst,sehnlich
tollst,toll
ungünstigst,ungünstig
schwerst,schwer
glücklichst,glücklich
jüngst,jung
edelst,edel
umfassendst,umfassend
umsatzstärkst,umsatzstark
schnellst,schnell
intensivst,intensiv
sinnvollst,sinnvoll
innovativst,innovativ
wildest,wild
ranghöchst,ranghoch
weltgrösst,weltgross
markantest,markant
eiligst,eilig
strengst,streng
feinst,fein
vornehmst,vornehm
bevölkerungsreichst,bevölkerungsreich
heftigst,heftig
drittgrösst,drittgross
hellst,hell
dienstältest,dienstälter
eindrucksvollst,eindrucksvoll
anderer,andere
größer,groß
zweitgrößter,zweitgroß
drittgrößter,drittgroß
weltgrößter,weltgroß
größter,groß
zweiter,zweit
neuer,neu
schneller,schnell
zweithöchster,zweithoch
ärmer,arm
teurer,teuer
länger,lang
interessierter,interessiert
genauer,genau
stärker,stark
schwerer,schwer
später,spät
älter,alt
kleiner,klein
breiter,breit
ruhiger,ruhig
komplexer,komplex
wärmer,warm
jünger,jung
konkreter,konkret
häufiger,häufig
reifer,reif
glücklicher,glücklich
tiefer,tief
anderer,andere
