original_word***,view_word***
rivestite,rivestito
palestinesi,palestinese
scontate,scontato
vocali,vocale
turchi,turco
aggiunte,aggiunto
pronte,pronto
soddisfatte,soddisfatto
spazi,spazio
rigenerabili,rigenerabile
discutibili,discutibile
calcoli,calcolo
distintivi,distintivo
celebri,celebre
croate,croato
ungheresi,ungherese
unilaterali,unilaterale
messicane,messicano
drammatici,drammatico
normative,normativa
nicchie,nicchia
eroici,eroico
ammobiliate,ammobiliato
annessi,annesso
responsivi,responsivo
autoimmuni,autoimmune
abituali,abituale
naturalistici,naturalistico
allergizzanti,allergizzante
cromatici,cromatico
cittadine,cittadino
contaminanti,contaminante
spagnoli,spagnolo
frequentate,frequentato
malformati,malformato
Locali,locale
sets,set
talebani,talebano
ciclabili,ciclabile
bergamasche,bergamasco
Enogastrononiche,enogastronomico
rose,rosa
intuitivi,intuitivo
cliniche,clinico
encomiabili,encomiabile
merlate,merlato
seduti,seduto
espressive,espressivo
agenti,agente
segnaletiche,segnaletico
aggiunti,aggiunto
catturate,catturato
biorarie,biorario
annui,annuo
conduttori,conduttore
strategiche,strategico
urlanti,urlante
bimbi,bimbo
rivolte,rivolta
confezionati,confezionato
configurabili,configurabile
intricati,intricato
antisettiche,antisettico
ferite,ferita
permissivi,permissivo
derivati,derivato
trasformati,trasformato
supportate,supportato
siciliani,siciliano
gommose,gommoso
stabiliti,stabilito
merci,merce
dimensionali,dimensionale
multiterritoriali,multiterritoriale
lapislazzuli,lapislazzulo
restrittive,restrittivo
alterne,alterno
menzionati,menzionato
ariose,arioso
pigmenti,pigmento
multicriteri,multicriterio
multipli,multiplo
culle,culla
teologiche,teologica
insormontabili,insormontabile
rapide,rapido
alternative,alternativa
imperdibili,imperdibile
protettive,protettivo
cicli,ciclo
gemelli,gemello
batteriche,batterico
infrastrutturali,infrastrutturale
increduli,incredulo
lesbiche,lesbica
maestose,maestoso
perfetti,perfetto
clinici,clinico
Applicate,applicato
liberali,liberale
bulgari,bulgaro
ingegnerizzati,ingegnerizzato
nanomateriali,nanomateriale
dilette,diletto
fees,fee
dentarie,dentario
edizioni,edizione
inesistenti,inesistente
affollate,affollato
versetti,versetto
mangimi,mangime
ragazze,ragazza
riconosciuti,riconosciuto
difficilissimi,difficilissimo
tempistici,tempistico
talassoterapiche,talassoterapico
balneoterapiche,balneoterapico
sostituibili,sostituibile
contraffatti,contraffatto
sacchetti,sacchetto
lussuosi,lussuoso
modulari,modulare
privilegiati,privilegiato
periodiche,periodico
designati,designato
pirotecnici,pirotecnico
regolamentate,regolamentato
elaborate,elaborato
prescelti,prescelto
invecchianti,invecchiante
interpersonali,interpersonale
ornamentali,ornamentale
marziani,marziano
fatali,fatale
greci,greco
odori,odore
britannici,britannico
immancabili,immancabile
chiavi,chiave
longitudinali,longitudinale
trasversali,trasversale
agguerriti,agguerrito
silenziose,silenzioso
documentali,documentale
flags,flag
svantaggiati,svantaggiato
sofisticate,sofisticato
sensuali,sensuale
autocratici,autocratico
lussureggianti,lussureggiante
pendenti,pendente
australiane,australiana
napoletane,napoletano
legati,legato
espositivi,espositivo
impareggiabili,impareggiabile
versati,versato
raffinate,raffinato
mammelle,mammella
esanimi,esame
edifici,edificio
magici,magico
cinematografici,cinematografico
austriaci,austriaco
numeri,numero
obbligatorie,obbligatorio
proiettive,proiettivo
dualisti,dualista
cristiani,cristiano
termovalvole,termovalvola
piane,piano
gommelacche,gommelacca
beneficiari,beneficiario
evangeliche,evangelico
autostradali,autostradale
preferenziali,preferenziale
secche,secco
musiche,musicale
bifamiliari,bifamiliare
distinti,distinto
appartamenti,appartamento
scuse,scusa
complessive,complessivo
identiche,identico
rette,retta
accorgimenti,accorgimento
terapeutici,terapeutico
malnutriti,malnutrito
monetari,monetario
invaiate,invaiato
ermetici,ermetico
desertici,desertico
