original_word***,view_word***
basato,basare
selezionata,selezionare
controllata,controllare
utilizzati,utilizzare
acquistati,acquistare
guidate,guidare
conosciute,conoscere
assistita,assistere
defluiva,defluire
ricevuti,ricevere
ristrutturata,ristrutturare
ristrutturato,ristrutturare
utilizzate,utilizzare
guadagnati,guadagnare
collegata,collegare
impostati,impostare
danneggiata,danneggiare
commercializzati,commercializzare
cancellati,cancellare
separata,separare
ottimizzata,ottimizzare
riscaldati,riscaldare
scelto,scegliere
separato,separare
dotato,dotare
chiuso,chiudere
soddisfatti,soddisfare
espresse,esprimere
raccolti,raccogliere
forniti,fornire
completata,completare
trovate,trovare
divise,dividere
mancato,mancare
sottoscritto,sottoscrivere
sussult,sussultare
defunto,defungere
detto,dire
scritta,scrivere
selettivo,selezionare
compreso,comprendere
coinvolti,coinvolgere
basata,basare
riservati,riservare
pagate,pagare
deformata,deformare
errato,errare
prefabbricate,prefabbricare
cancellate,cancellare
sentivo,sentire
riveduti,rivedere
radiata,radiare
riservata,riservare
investita,investire
consumata,consumare
deluse,deludere
svolta,svolgere
modificato,modificare
comprese,comprendere
promossero,promuovere
benedetto,benedire
accresciuto,accrescere
diventato,diventare
intravide,intravedere
