gehen,
gelten,
gewinnen,
gefallen,
geraten,
gestalten,
vergessen,
geschehen,
regeln,
begeistern,
begegnen,
gestehen,
spiegeln,
gebrauchen,
gestatten,
abgewickeln,l
mangeln,
geniessen,
umgestalten,
eingemeinden,
entgegennehmen,
besiegeln,
suggerieren,
entgegnen,
klingeln,
gedenken,
auseinandergesetzen,
rausgenommen,l
widerspiegeln,
abgewinnen,
ausgeloen,
mitgestalten,
aufgebrauchen,
angereichern,
entgegenwirken,
gedeihen,
gebieten,
gedulden,
generieren,
heruntergeladen,
schmuggeln,
ausgestalten,
budgetieren,
abriegeln,
entgegenkommen,
entgegensetzen,
segeln,
entgegentreten,
hageln,
abgelten,
gesellen,
gebaren,
gewichten,
abgeraten,
geleiten,
fallengelassen,
vorangebrachen,
wiederaufgebauen,
hervorgetanen,
versiegeln,
gehorchen,
aufgefrischen,l
zugeleiten,
vorweggenommen,l
ausgestatten,
angeschnallen,
abgespalten,
abgeschoten,l
ausgehebelen,
rausgeschmeissen,
abgewanden,
aufgelockern,
gefangennehmen,
gegensteuern,
gehtsen,
vergewissern,
umgekrempeln,
zusammenlegenn,
mangele,
geradestehen,
angeleiten,
entgegenstehen,
abgeblocken,
umzingeln,
regenerieren,
abgespecken,
wiegeln,
ernstgenommen,
rausgeworfen,l
herabgestufen,
aufgehebeln,
zugeloen,l
genesen,
angeln,
heruntergekommen,l
entgegensehen,
feilgeboen,
eingewickeln,
abgeflachen,
vorgefallen,
gesunden,
geloben,
abgefallen,
eingemaueren,
dagegenhalten,
vorbeigekommen,
schiefgelaufen,
angeraten,
begehren,
aufgebauschen,
hineingeboren,
angestacheln,
verallgemeinern,
aufgeschlitzen,
durchgesickern,
hergeleiten,
hinzugewinnen,
entgegenstellen,
gefrieren,
angefreunden,
vergeuden,
breitgemachen,
hervorgeholn,
ausgehecken,
zuvorgekommen,l
vorangeschreiden,
angedeihen,
abgestufen,
kaputtgemachen,
gern,
abgewunken,l
aufgefallen,
abgezocken,l
entgegenhalten,
instandgesetzen,
hinausgeworfen,l
geschahen,
abgeschoen,
